Horodateur,Question 1 : Quelle est votre tranche d'âge ?,Question 2 : Quelle langue utilisez-vous au quotidien ?,Question 3 : Vous arrive-t-il de consulter des sites internet conçus/traduits dans des langues autres que votre langue de prédilection ?,Question 3 : Quel intérêt accordez-vous à votre langue maternelle,Question 4 : Parlez-vous votre langue maternelle ?,Question 5 : Quelle est votre fréquence d'utilisation de votre langue maternelle ?,Question 6 : Seriez-vous ouvert(e)s à de nouvelles méthodes d'apprentissage de votre langue maternelle basées sur vos activités favorites ?,Question 7 : Aimeriez-vous que vos sites internet préférés possèdent également une version traduite en votre langue maternelle ? ,Question 8 : Le fait que vos sites internet préférés soient traduits en votre langue maternelle pourrait-il vous pousser à les consulter plus souvent ?,Question 9 : Avez-vous des suggestions pour promouvoir les langues maternelles dans l'univers numérique ?
16/12/2019 00:41:23,20-25 ans,Français,Oui,Moyen,Non,Nulle,Oui,Oui,Oui,Non
16/12/2019 00:50:37,25-30 ans,Français,Oui,Moyen,Oui,Quotidienne,Oui,Oui,Oui,
16/12/2019 00:58:22,25-30 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,
16/12/2019 01:01:56,20-25 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Que les concepteurs des programmes informatique ou numérique  proposent des services en les differentes langues maternelles pour élargir son nombre d'utilisateurs. 
16/12/2019 01:02:02,20-25 ans,Français,Oui,Faible,Non,Nulle,Oui,Oui,Non,
16/12/2019 01:13:29,25-30 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,C très importante les langues maternelles
16/12/2019 01:19:00,Plus de 35 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,"une promotion des langues maternelles consisterait à produire du matériel didactique, des lexiques voire dictionnaire afin de pouvoir mieux renforcer les capacités des apprenants et partant leur susciter un intérêt pour les dites langues."
16/12/2019 01:24:31,20-25 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Sa permettrait de développer notre tribu tout en la faisant valoir 
16/12/2019 01:25:49,20-25 ans,Français,Oui,Elevé,Non,Rare,Oui,Oui,Oui,
16/12/2019 01:35:06,25-30 ans,Français,Oui,Aucun,Non,Nulle,Non,Non,Non,Non
16/12/2019 01:45:05,20-25 ans,Français,Oui,Moyen,Non,Rare,Oui,Oui,Oui,
16/12/2019 02:09:30,Plus de 35 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Créer des forums permettant de pratiquer la langue
16/12/2019 02:12:14,Plus de 35 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Créer des forums permettant de pratiquer la langue
16/12/2019 02:27:19,25-30 ans,Anglais,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,"I think, the mother tongue will be promoted by introducing them on the digital world with their translation either in english or french,  thus easily facilitating it's adoption."
16/12/2019 02:27:54,20-25 ans,Français,Oui,Faible,Non,Rare,Oui,Oui,Oui,Non 
16/12/2019 02:28:23,25-30 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,Mettre sur pied un logiciel telle que Google voice aidant à traduire mais aussi donner la phonétique correcte 
16/12/2019 02:35:35,25-30 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,
16/12/2019 03:38:08,20-25 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Oui,Oui,"La langue maternelle est la base de notre culture, et chaque homme se retrouve et se définit à travers sa culture et ses origines. La traduction est un pas vers la promotion de la langue maternelle. La suggestion que j'emetrrais est que cette initiative soit faite et bien faite et ceci passe par la coopération avec des personnes maîtrisant parfaitement leur langue maternelle enfin que la traduction soit authentique. Merci  "
16/12/2019 03:41:34,25-30 ans,Français,Oui,Faible,Non,Occasionnelle,Oui,Non,Non,Organiser des festivals culturels
16/12/2019 05:00:14,20-25 ans,Français,Oui,Moyen,Non,Rare,Oui,Oui,Oui,
16/12/2019 05:14:50,Plus de 35 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,"Encourager les parents à recommencer à parler la langue maternelle aux enfants
Créer des plateformes numériques, télé, radio, où l'on parle les langues maternelles
Emmener les enfants aux villages
Organiser des foires de promotion de la langue maternelle
Insister sur l'enseignement multilingue"
16/12/2019 05:15:03,Plus de 35 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,"Encourager les parents à recommencer à parler la langue maternelle aux enfants
Créer des plateformes numériques, télé, radio, où l'on parle les langues maternelles
Emmener les enfants aux villages
Organiser des foires de promotion de la langue maternelle
Insister sur l'enseignement multilingue"
16/12/2019 05:23:44,20-25 ans,Français,Oui,Elevé,Non,Nulle,Oui,Oui,Oui,
16/12/2019 05:39:55,20-25 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Encourager la jeunesse à s'intéresser à la langue à créant un programme permettant un apprentissage rapide des langues maternelle 
16/12/2019 06:05:23,20-25 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Non,Non,
16/12/2019 06:18:44,20-25 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Oui,Oui,
16/12/2019 06:19:07,20-25 ans,Français,Oui,Moyen,Non,Rare,Oui,Oui,Oui,
16/12/2019 06:44:42,20-25 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Non,Non,Sensibiliser d'abord les populations en dehors du numérique sur l'importance de ces langues et la conservation de notre identité 
16/12/2019 06:55:54,20-25 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Oui,Non,
