,index,club,id,first_name,last_name,country,real_position,jersey_num,birth_date,weight,height
0,0,Angers,p40511,Denis,Petric,Slovenia,Goalkeeper,1,1988-05-24,83,187
1,1,Angers,p119744,Mathieu,Michel,France,Goalkeeper,1,1991-09-04,84,189
2,2,Angers,p85577,Alexandre,Letellier,France,Goalkeeper,30,1990-12-11,93,193
3,3,Angers,p174272,Anthony,Mandrea,France,Goalkeeper,40,1996-12-25,78,186
4,4,Angers,p218123,Maxime,Sivis,Congo DR,Unknown,Unknown,1998-01-04,Unknown,Unknown
5,5,Angers,p180299,Gabriel,Mutombo Kupa,France,Unknown,Unknown,1996-01-19,75,186
6,6,Angers,p58309,Yoann,Andreu,France,Full Back,3,1989-05-03,70,178
7,7,Angers,p68545,Mateo,Pavlovic,Croatia,Central Defender,4,1990-06-09,94,196
8,8,Angers,p42416,Ismael,Traoré,Côte d'Ivoire,Central Defender,8,1986-08-18,87,184
9,9,Angers,p93622,Pablo,Martinez,France,Full Back,21,1989-02-21,77,182
10,10,Angers,p45505,Romain,Thomas,France,Central Defender,24,1988-06-12,84,193
11,11,Angers,p57266,Abdoulaye,Bamba,Côte d'Ivoire,Full Back,25,1990-04-25,72,182
12,12,Angers,p213575,Mehdi,Tahrat,Algeria,Central Defender,26,1990-01-24,86,193
13,13,Angers,p96195,Issa,Cissokho,Senegal,Full Back,28,1985-02-23,73,173
14,14,Angers,p54518,Vincent,Manceau,France,Full Back,29,1989-07-10,70,176
15,15,Angers,p212600,Mathias,Serin,France,Attacking Midfielder,Unknown,1991-08-01,59,169
16,16,Angers,p18574,Thomas,Mangani,France,Central Midfielder,5,1987-04-29,79,183
17,17,Angers,p15304,Grégory,Bourillon,France,Defensive Midfielder,6,1984-07-01,74,187
18,18,Angers,p220994,Aissa,Laidouni,France,Unknown,13,1996-12-13,75,179
19,19,Angers,p112580,Pierrick,Capelle,France,Attacking Midfielder,15,1987-04-15,73,181
20,20,Angers,p168109,Cheikh,N'Doye,Senegal,Central Midfielder,17,1986-03-29,90,192
21,21,Angers,p168985,Baptiste,Santamaría,France,Central Midfielder,18,1995-03-09,73,183
22,22,Angers,p154011,Flavien,Tait,France,Attacking Midfielder,20,1993-02-02,70,175
23,23,Angers,p195883,Jonathan,Bamba,France,Winger,22,1996-03-26,72,175
24,24,Angers,p44485,Jamel,Saihi,Tunisia,Defensive Midfielder,23,1987-01-27,75,182
25,25,Angers,p52002,Goran,Karanoviç,Switzerland,Striker,Unknown,1987-10-13,80,185
26,26,Angers,p80485,Kévin,Berigaud,France,Striker,2,1988-05-09,72,176
27,27,Angers,p193454,Karl,Toko Ekambi,Cameroon,Striker,7,1992-09-14,74,185
28,28,Angers,p149535,Famara,Diedhiou,Senegal,Striker,9,1992-12-15,80,189
29,29,Angers,p66589,Gilles,Sunu,Togo,Second Striker,10,1991-03-30,83,181
30,30,Angers,p66757,Dickson,Nwakaeme,Nigeria,Striker,11,1986-04-21,85,187
31,31,Angers,p216646,Yoane,Wissa,France,Striker,12,1996-09-03,75,180
32,32,Angers,p81118,Férébory,Doré,Congo,Striker,12,1989-01-21,85,193
33,33,Angers,p79870,Billy,Ketkeophomphone,France,Winger,14,1990-03-24,71,180
34,34,Angers,p195735,Nicolas,Pepe,Côte d'Ivoire,Winger,19,1995-05-29,73,183
